"","Estimate","Std. Error","z value","Pr(>|z|)"
"SpMin2_Bhm",-398098217343342,7951258.40575331,-50067322.3065281,0
"SpMin3_Bhm",-63891936067257.5,8180124.60411316,-7810631.15287157,0
"SpMin4_Bhm",-769963368790590,7885901.98737607,-97637958.2225552,0
"SpMax1_Bhv",155298142445919,15823876.358257,9814165.56410865,0
"SpMax2_Bhv",5227187139486.99,10735793.784635,486893.400185097,0
"SpMax3_Bhv",-365936544071410,10132596.4155125,-36114785.299371,0
"SpMin1_Bhv",58918727625321.6,8029352.8046644,7337917.39616855,0
"SpMin8_Bhe",-188152369936115,4789115.85824079,-39287495.9607324,0
"SpMax1_Bhp",-259478142813332,14005568.6123123,-18526783.8811789,0
"SpMax1_Bhs",-491979238368519,7838907.46603002,-62761199.8866571,0
"SpMax2_Bhs",-249978757218084,4459387.36736789,-56056748.7469992,0
"SpMax3_Bhs",-267626702803710,4391541.81553817,-60941399.1816705,0
"SpMax4_Bhs",-238952365503370,4990214.91943883,-47884183.2187542,0
"SpMin1_Bhs",628850893911256,10341842.0760287,60806468.4500321,0
"SpMin2_Bhs",382211175252189,5062992.7448645,75491156.0242454,0
"SpMin3_Bhs",82059593752427.8,5147225.99089476,15942489.0023457,0
"SpMin4_Bhs",492311387133146,6571481.76399894,74916343.8039521,0
"SpMin5_Bhs",334643602557068,5887009.64636569,56844412.1309802,0
"SpMin6_Bhs",-247892829187682,6040513.12236603,-41038372.7617141,0
"C2SP1",824722007628188,11447318.1373074,72044997.5912154,0
"C1SP2",1242334082312290,16543553.5526589,75094753.8784748,0
"C2SP2",7808799504918244,91711981.0684325,85144813.2942583,0
"C3SP2",3300216403867535,42134042.3844579,78326602.8394392,0
"C1SP3",2515017625376162,29558782.6750092,85085290.9955089,0
"C2SP3",7577396536869028,77133534.4751739,98237382.5914574,0
"C3SP3",3637954352564845,40077067.6364438,90773965.439944,0
"C4SP3",2031531009593604,22100969.7181663,91920446.7269937,0
"SCH.3",-433954016813342,51864080.125006,-8367139.95056693,0
"SCH.4",-560867864172489,15257040.3815731,-36761249.2426699,0
"SCH.5",275520842401784,13149503.0292075,20952947.1790532,0
"SCH.6",339943792407758,11610084.5177843,29280044.5928739,0
"SCH.7",-368301667058142,10622312.7523198,-34672455.5796672,0
"VCH.5",-12726862596936.5,8190339.26066567,-1553887.10917722,0
"VCH.6",496708878150560,8906899.83776783,55766752.4276372,0
"SC.3",945322228944055,73396518.5536069,12879660.3377532,0
"SC.4",202881029167724,25098696.8482994,8083329.20206854,0
"SC.5",-111390122043408,18308027.7517041,-6084222.91871611,0
"SC.6",-32140676859150.2,10130663.8985004,-3172613.08648367,0
"VC.3",206073791915252,30267302.0418769,6808462.53260811,0
"VC.4",-643822740650017,16013642.831332,-40204639.7207215,0
"VC.5",-61138959733276.4,9102274.13251277,-6716888.42186062,0
