parent_smiles,ring_fragment
CCOC(=O)C1C(C)=NC2=C(C(=O)C[C@@H](c3ccccc3)C2)[C@@H]1c1cc(OC)ccc1OC,CC1=NC2=C(C(=O)C[C@@H](C)C2)[C@H](C)C1C
CCOC(=O)C1C(C)=NC2=C(C(=O)C[C@@H](c3ccccc3)C2)[C@@H]1c1cc(OC)ccc1OC,Cc1ccccc1
CCOC(=O)C1C(C)=NC2=C(C(=O)C[C@@H](c3ccccc3)C2)[C@@H]1c1cc(OC)ccc1OC,Cc1cc(O)ccc1O
CCOc1ccccc1NC(=O)CN1C(=O)N[C@H](Cc2c[nH]c3ccccc23)C1=O,Nc1ccccc1O
CCOc1ccccc1NC(=O)CN1C(=O)N[C@H](Cc2c[nH]c3ccccc23)C1=O,C[C@H]1NC(=O)N(C)C1=O
CCOc1ccccc1NC(=O)CN1C(=O)N[C@H](Cc2c[nH]c3ccccc23)C1=O,Cc1c[nH]c2ccccc12
COC(CNC(=O)COc1ccc2nc3n(c(=O)c2c1)CCCCC3)OC,O=c1c2cc(O)ccc2nc2n1CCCCC2
CC[C@@]1(c2ccc(Cl)cc2)NC(=O)N(CC(=O)N2CCCC[C@@H]2C)C1=O,Cc1ccc(Cl)cc1
CC[C@@]1(c2ccc(Cl)cc2)NC(=O)N(CC(=O)N2CCCC[C@@H]2C)C1=O,CN1C(=O)NC(C)(C)C1=O
CC[C@@]1(c2ccc(Cl)cc2)NC(=O)N(CC(=O)N2CCCC[C@@H]2C)C1=O,C[C@H]1CCCCN1C
CCCC(=O)Nc1nc2cc3c(cc2s1)OCO3,Nc1nc2cc3c(cc2s1)OCO3
O=C(NC1CCCCC1)c1c[nH]c2ccc(S(=O)(=O)Nc3cccc(C(F)(F)F)c3)cc2c1=O,NC1CCCCC1
O=C(NC1CCCCC1)c1c[nH]c2ccc(S(=O)(=O)Nc3cccc(C(F)(F)F)c3)cc2c1=O,Cc1c[nH]c2ccc(S)cc2c1=O
O=C(NC1CCCCC1)c1c[nH]c2ccc(S(=O)(=O)Nc3cccc(C(F)(F)F)c3)cc2c1=O,Cc1cccc(N)c1
CSCC[C@@H](C(=O)O)n1cc(-c2cccc(C#N)c2)nn1,Cc1cn(C)nn1
CSCC[C@@H](C(=O)O)n1cc(-c2cccc(C#N)c2)nn1,Cc1cccc(C)c1
CC1=C(C#N)C(=O)N(c2ccc(C)c(C)c2)C(=O)C1,CC1=C(C)C(=O)N(C)C(=O)C1
CC1=C(C#N)C(=O)N(c2ccc(C)c(C)c2)C(=O)C1,Cc1ccc(N)cc1C
Nc1ncc(-c2cccc(F)c2)c([C@@H]2CCCN2c2ncccn2)n1,Cc1cnc(N)nc1C
Nc1ncc(-c2cccc(F)c2)c([C@@H]2CCCN2c2ncccn2)n1,Cc1cccc(F)c1
Nc1ncc(-c2cccc(F)c2)c([C@@H]2CCCN2c2ncccn2)n1,C[C@@H]1CCCN1C
Nc1ncc(-c2cccc(F)c2)c([C@@H]2CCCN2c2ncccn2)n1,Nc1ncccn1
C=CCn1c(=O)[nH]c(O)c(C(=O)/C=C/c2ccc(OCC)cc2)c1=O,Cc1c(O)[nH]c(=O)n(C)c1=O
C=CCn1c(=O)[nH]c(O)c(C(=O)/C=C/c2ccc(OCC)cc2)c1=O,Cc1ccc(O)cc1
COC(=O)C1=C(Nc2ccccc2NS(=O)(=O)c2ccccc2Cl)CSC1,CC1=C(N)CSC1
COC(=O)C1=C(Nc2ccccc2NS(=O)(=O)c2ccccc2Cl)CSC1,Nc1ccccc1N
COC(=O)C1=C(Nc2ccccc2NS(=O)(=O)c2ccccc2Cl)CSC1,Sc1ccccc1Cl
C[C@H](NC(=O)c1nn(C)cc1C(=O)O)c1ccccc1,Cc1cn(C)nc1C
C[C@H](NC(=O)c1nn(C)cc1C(=O)O)c1ccccc1,Cc1ccccc1
CC[C@@H](C)[C@H](NC(=O)C1CCN(C(=O)[C@@H](N)Cc2c[nH]c3ccccc23)CC1)C(=O)O,CC1CCN(C)CC1
CC[C@@H](C)[C@H](NC(=O)C1CCN(C(=O)[C@@H](N)Cc2c[nH]c3ccccc23)CC1)C(=O)O,Cc1c[nH]c2ccccc12
Brc1cccc(OCCNC[C@@H]2CCCS2)c1,Oc1cccc(Br)c1
Brc1cccc(OCCNC[C@@H]2CCCS2)c1,C[C@@H]1CCCS1
Cc1c(-c2noc(C(=O)NCC3CCN(Cc4ccc(Cl)cc4)CC3)n2)oc2ccccc12,Cc1noc(C)n1
Cc1c(-c2noc(C(=O)NCC3CCN(Cc4ccc(Cl)cc4)CC3)n2)oc2ccccc12,CC1CCN(C)CC1
Cc1c(-c2noc(C(=O)NCC3CCN(Cc4ccc(Cl)cc4)CC3)n2)oc2ccccc12,Cc1ccc(Cl)cc1
Cc1c(-c2noc(C(=O)NCC3CCN(Cc4ccc(Cl)cc4)CC3)n2)oc2ccccc12,Cc1oc2ccccc2c1C
CCCC[C@@H](CC)C(=O)OCCCc1cccnc1,Cc1cccnc1
Cc1csc(N2CCN(C(=O)c3cc4c(s3)CC[C@H](C(C)(C)C)C4)CC2)n1,Cc1csc(N)n1
Cc1csc(N2CCN(C(=O)c3cc4c(s3)CC[C@H](C(C)(C)C)C4)CC2)n1,CN1CCN(C)CC1
Cc1csc(N2CCN(C(=O)c3cc4c(s3)CC[C@H](C(C)(C)C)C4)CC2)n1,Cc1cc2c(s1)CC[C@H](C)C2
CC(C)(C)OC(=O)NCC(=O)NCC(=O)NC1CC1,NC1CC1
CCCCCC1=NCCN1CCO,CC1=NCCN1C
COc1ccc(NC(=O)CC2(CC(=O)O)CCCC2)cc1OC,Nc1ccc(O)c(O)c1
COc1ccc(NC(=O)CC2(CC(=O)O)CCCC2)cc1OC,CC1(C)CCCC1
COc1ccccc1-c1nn(Cc2ccccc2)cc1C(=O)N[C@@H](C)c1ccccc1F,Cc1ccccc1O
COc1ccccc1-c1nn(Cc2ccccc2)cc1C(=O)N[C@@H](C)c1ccccc1F,Cc1cn(C)nc1C
COc1ccccc1-c1nn(Cc2ccccc2)cc1C(=O)N[C@@H](C)c1ccccc1F,Cc1ccccc1
COc1ccccc1-c1nn(Cc2ccccc2)cc1C(=O)N[C@@H](C)c1ccccc1F,Cc1ccccc1F
CCN(C(=O)CCN1C(=O)c2ccc(C)cc2C1=O)c1nc2ccccc2s1,Cc1ccc2c(c1)C(=O)N(C)C2=O
CCN(C(=O)CCN1C(=O)c2ccc(C)cc2C1=O)c1nc2ccccc2s1,Nc1nc2ccccc2s1
C[N@]1CC[C@@]2(COCc3cnc(NCC4CC4)nc32)C1,CN1CCC(C)(C)C1
C[N@]1CC[C@@]2(COCc3cnc(NCC4CC4)nc32)C1,CC1(C)COCc2cnc(N)nc21
C[N@]1CC[C@@]2(COCc3cnc(NCC4CC4)nc32)C1,CC1CC1
Cc1cccc(Cn2ccnc2C(N)=O)c1,Cc1cccc(C)c1
Cc1cccc(Cn2ccnc2C(N)=O)c1,Cc1nccn1C
O=C(C[C@H]1CCS(=O)(=O)C1)OCc1nc2ccccc2c(=O)n1-c1ccc(F)cc1,C[C@H]1CCS(=O)(=O)C1
