"","Estimate","Std. Error","z value","Pr(>|z|)"
"GATS2p",-767711753602439,48666816.7859441,-15774850.3868486,0
"GATS3p",1599975894482136,39878689.2766577,40121075.2786365,0
"GATS4p",-886061988289317,33010143.1078894,-26842112.9043075,0
"GATS5p",1264838766959240,30140376.1795021,41964929.6819139,0
"GATS6p",-1097508334574656,25958523.7387762,-42279304.6946358,0
"GATS7p",-1240511213359450,28327352.1716876,-43791993.188806,0
"GATS8p",-1208336461005432,25649438.9543885,-47109664.3928226,0
"GATS1i",1097415689426724,30767650.1515897,35667842.1660363,0
"GATS2i",1058102926783154,28773326.8669082,36773742.9765225,0
"GATS3i",366882780241447,30421557.6680698,12059960.3821905,0
"GATS4i",162520152422386,20856325.2213286,7792367.57663261,0
"GATS5i",364111108053715,19302731.4116618,18863190.9281883,0
"GATS6i",-271377497773774,16149544.4647764,-16804034.21692,0
"GATS7i",504294955790713,13959744.4919056,36124941.6909544,0
"GATS8i",365684759098350,14166201.8707685,25813888.7497382,0
"BCUTc.1h",571909647556059,10535338.4167591,54284886.2497186,0
"BCUTc.1l",419062663936559,6429324.37779736,65179891.2781138,0
"BCUTdv.1h",618763751566558,10525780.7353444,58785544.4764131,0
"BCUTdv.1l",-287995640626036,5952754.18248182,-48380234.0559552,0
"BCUTd.1h",-285275031515396,7750085.36626065,-36809276.0316315,0
"BCUTd.1l",-339780538222662,3197397.11783002,-106267856.541155,0
"BCUTs.1h",442144036491615,14790572.9659212,29893638.1646848,0
"BCUTs.1l",-2261318002188754,20497891.2221869,-110319543.492411,0
"BCUTZ.1h",-1566227341458362,16833384.2505459,-93042926.9686258,0
"BCUTZ.1l",-1972932551555443,104036261.230174,-18963893.2447836,0
"BCUTv.1l",1236027974145912,18432989.4334137,67055209.8242592,0
"BCUTse.1h",402543254518736,16184895.5958739,24871538.5362979,0
"BCUTse.1l",52285393202609.8,30842545.3207568,1695236.00140168,0
"BCUTare.1l",1338150726856533,25574284.7383776,52324072.4245344,0
"BCUTi.1h",815399800800063,10590642.695356,76992475.7406472,0
"BCUTi.1l",462006138456508,22187746.7091902,20822580.3418399,0
"BalabanJ",-492262925660656,12896971.7361836,-38168876.8286254,0
"SM1_DzZ",12247098823976690,997156958.632765,12282017.1066841,0
"nBondsD",25454338456188900,1164871453.56628,21851628.6739278,0
"nBondsT",12345908113873602,417042423.995836,29603482.5320238,0
"RNCG",294748737657358,12622869.9140619,23350374.3335742,0
