"","Estimate","Std. Error","z value","Pr(>|z|)"
"AATS0i",-5728545492764549,181054631.216381,-31639872.7515469,0
"AATS1i",-2697526608769071,128610457.003034,-20974395.641137,0
"AATS2i",-60537248716540.4,86159924.6371823,-702614.921861429,0
"AATS3i",2546359811724406,81639854.6107003,31190156.1298305,0
"AATS4i",-877472331173918,77379974.4571759,-11339785.7433971,0
"AATS5i",-1674029494064952,79316545.6195666,-21105678.2792112,0
"AATS6i",-704461743685614,80348167.1906091,-8767614.3503613,0
"AATS1s",939105076641466,73253732.3979257,12819893.893462,0
"AATS3s",1482176895321846,43364070.4278553,34179837.8403555,0
"AATS4s",1307033251811970,38325554.6241537,34103439.979659,0
"AATS5s",-2900671431870418,47259511.5539706,-61377516.1124514,0
"AATS6s",1060160300747418,28496354.8141569,37203365.4009928,0
"AATS7s",-720079364772536,20425582.3530106,-35253798.5124523,0
"AATS8s",211486133421389,22448359.5808826,9421006.13897393,0
"ATSC0c",-2219388617320905,253228435.058659,-8764373.62497145,0
"ATSC3c",-2677087125290489,65773279.3555464,-40701743.1929938,0
"ATSC4c",-1014526225369888,74426089.1938692,-13631325.2027416,0
"ATSC5c",-656266518503096,66028343.1855461,-9939163.8021103,0
"ATSC6c",295504732305589,52449011.9969583,5634133.43844734,0
"ATSC7c",467477548346308,37611598.7656685,12429079.4246432,0
"ATSC8c",859803248912332,44560350.0271839,19295253.4795577,0
"ATSC1m",5395106610355509,58571679.3555473,92111181.88375,0
"ATSC2m",78244717890342.5,45385904.7731718,1723987.17798822,0
"ATSC3m",1972813368535140,32241718.8507922,61188219.4514784,0
"ATSC4m",-1439676763809838,36343463.3741855,-39613086.6501961,0
"ATSC5m",-146332213901602,35482390.0362282,-4124079.96620843,0
"ATSC6m",1716241837802671,33986976.6090489,50497043.5453718,0
"ATSC7m",-8676449249919.76,37163883.2224726,-233464.549384689,0
"ATSC8m",1501017909790302,21544983.1355634,69669022.2659136,0
"ATSC1v",-6591373459461527,104549628.385619,-63045403.0419891,0
"ATSC2v",5195623713839177,80732751.6339114,64355835.8743811,0
"ATSC3v",-56201157303281.2,36001444.6515473,-1561080.61349326,0
"ATSC4v",3295781425691939,36531277.6233137,90218071.748704,0
"ATSC5v",744915985208476,26314102.1036527,28308622.5885348,0
"ATSC6v",-2715190775869949,26228479.0229054,-103520710.198207,0
"ATSC7v",-361957061059679,17988272.7967237,-20121835.2173092,0
"ATSC8v",-1181523067451341,17158281.8461785,-68860220.2740066,0
"ATSC1e",-6820239492956523,60753302.435511,-112261214.115828,0
"ATSC2e",1137531261412046,41649871.33881,27311759.3127371,0
"ATSC3e",269572815882863,23211892.7850577,11613564.579981,0
"ATSC4e",986804927637775,25288930.0082152,39021221.0369205,0
"ATSC5e",1561962464149105,21721413.7752286,71908876.6648508,0
"ATSC6e",-877755442356358,23874183.617345,-36765883.031856,0
"ATSC7e",1149664040301781,18904309.9524928,60814916.9787697,0
"ATSC8e",-792883547230330,16850774.1342081,-47053241.6442949,0
"ATSC1p",-1052258229825999,78669857.56403,-13375621.3931055,0
"ATSC2p",-1917759977907798,54477786.766691,-35202604.4325347,0
"ATSC3p",-108812782412057,32903364.8629753,-3307041.17543004,0
"ATSC4p",-562092488538377,40685600.5876651,-13815514.098833,0
"ATSC5p",560004452713586,26894730.006282,20822088.6613393,0
"ATSC6p",2717430312102871,27585217.7299202,98510381.1290719,0
"ATSC7p",382529312448506,22546553.8458029,16966198.6955809,0
"ATSC8p",234415430072266,19535539.5868323,11999434.6217225,0
"ATSC1i",3262918746526885,52298548.5833728,62390235.1960157,0
"ATSC2i",1131212594605746,32843393.9628433,34442621.7304314,0
"ATSC3i",17307197142449.8,18606892.1781019,930149.805609041,0
"ATSC4i",-1440339160517694,20786457.7276592,-69292189.1449126,0
"ATSC5i",-1129547159667932,18096414.7947665,-62418284.0898738,0
"ATSC6i",-504910467392468,16904323.2436786,-29868718.2038642,0
"ATSC7i",-230543582394043,13898959.4066505,-16587110.995067,0
"ATSC8i",535039143157213,12213462.4910681,43807326.8369635,0
"ATSC1s",1578069495837984,66075127.8331238,23882957.8933768,0
"ATSC2s",-3505090936802979,44092568.7893885,-79493915.4837022,0
"ATSC3s",-1441064827285470,16994690.5847835,-84795002.3035871,0
"ATSC4s",-1164809929209577,19138379.9237872,-60862514.6876633,0
"ATSC5s",-1592722320665718,15995118.0144694,-99575527.9345187,0
"ATSC6s",34808497183087.4,16216467.5682125,2146490.7222655,0
"ATSC7s",-837772303543340,13041325.6940784,-64239811.442156,0
"ATSC8s",334286811982657,12173992.2830032,27459095.111254,0
"AATSC3c",1612400038404203,59274051.4294271,27202460.4277971,0
"AATSC4c",-1966180581414388,75988811.3553945,-25874606.3577531,0
"AATSC5c",-1086828219401702,75706985.1785983,-14355719.1828177,0
"AATSC8c",-835568802869106,22837419.0782892,-36587707.2187836,0
"AATSC1m",-3743426042265695,73771048.3256784,-50743836.8740475,0
"AATSC2m",422458259191335,50122904.6317838,8428447.27963844,0
"AATSC3m",-1431672495814255,43076486.7514675,-33235591.0098792,0
