"","Estimate","Std. Error","z value","Pr(>|z|)"
"ATSC4e",-28602753396015.6,9226102.57585188,-3100198.93675142,0
"ATSC5e",227369532304684,7206725.51235189,31549631.2319633,0
"ATSC6e",311669544658221,8439443.52745596,36930106.0720733,0
"ATSC7e",413969039389379,7949812.19729788,52072807.3966434,0
"ATSC8e",66737870133483.7,7501117.91234643,8897056.53388502,0
"ATSC0p",-427582922457407,83244454.2768339,-5136473.36836947,0
"ATSC1p",307839466439929,33607017.8161635,9159975.69685791,0
"ATSC2p",746831439955538,18890652.4056086,39534444.0160152,0
"ATSC3p",727093282382653,12301354.6443872,59106765.3442875,0
"ATSC4p",468713777988845,16251211.1097279,28841775.2267261,0
"ATSC5p",-182882598004805,10417160.7260207,-17555896.7375811,0
"ATSC6p",330032197469110,12311596.7741808,26806611.9710187,0
"ATSC7p",-30361294457671.8,11451398.5088127,-2651317.60407313,0
"ATSC8p",-353240928778129,11284098.2895646,-31304311.581972,0
"ATSC1i",-539458492723938,18561021.3585914,-29064052.1500309,0
"ATSC2i",-77639133184684.6,12270616.2135678,-6327239.95546675,0
"ATSC3i",-291581262601101,7559047.70075425,-38573809.04899,0
"ATSC4i",-135982146275580,7465158.53239571,-18215573.8133991,0
"ATSC5i",-180814472146139,6769097.55769775,-26711754.4997588,0
"ATSC6i",-204827793373276,6106656.84333603,-33541723.176536,0
"ATSC7i",40141478338748.3,5638398.89784639,7119304.44546598,0
"ATSC8i",252759138291696,5259993.6760616,48053125.8891071,0
"ATSC1s",-81124916307698.7,18129399.5031525,-4474771.28481789,0
"ATSC2s",-145072512785871,15432259.9117814,-9400600.66478787,0
"ATSC3s",-31334833035164.1,6584419.38343612,-4758936.39369184,0
"ATSC4s",-34940751306005.3,7451647.95311211,-4688996.51806721,0
"ATSC5s",-146070490867031,5972060.37809834,-24458977.5754316,0
"ATSC6s",-185671813790689,6254793.90036877,-29684721.3110799,0
"ATSC7s",-142585410085768,5972185.67666399,-23874912.4366499,0
"ATSC8s",-158039454816636,5471991.01904021,-28881526.7179215,0
"AATSC0c",-202913357434717,19611742.4248119,-10346523.681547,0
"AATSC4c",-161697769838852,17343714.1615642,-9323133.92232869,0
"AATSC5c",448512652584092,23695628.151206,18928076.0873716,0
"AATSC6c",755636329733906,21896939.7777804,34508764.1196637,0
"AATSC7c",472492093500417,16228178.3038989,29115535.006594,0
"AATSC8c",426512851172678,12288275.8789789,34708925.4321104,0
"AATSC1m",-3190146272101852,113551930.411593,-28094161.504243,0
"AATSC2m",-1077536846177545,20236797.5938914,-53246411.2060303,0
"AATSC3m",135469643251947,14529024.3966485,9324070.18899337,0
